source,target,similarity
11,774,0.709
15,1781,0.616
15,1316,0.6064
36,50,0.7
36,1053,0.688
41,1138,0.677
46,700,0.807
46,7355,0.783
50,205,0.7427
52,826,0.6807
69,9599,0.6133
83,2467,0.833
83,4032,0.8047
101,3169,0.6934
101,557,0.631
106,403,0.6284
114,4313,0.671
116,4406,0.8047
118,1307,0.6055
118,481,0.6025
121,707,0.659
134,1580,0.7637
146,345,0.603
160,1614,0.771
161,2027,0.696
161,239,0.678
162,4598,0.6665
174,1067,0.681
174,7855,0.679
183,1042,0.609
194,10604,0.746
197,2006,0.832
199,956,0.6216
204,4734,0.61
205,50,0.7427
205,7363,0.6924
212,197,0.6333
219,9553,0.6636
220,403,0.7305
220,264,0.729
223,774,0.6016
225,2017,0.7017
225,197,0.683
230,515,0.6147
239,1887,0.8633
240,194,0.6997
256,1644,0.6943
264,1887,0.8223
264,583,0.8076
273,1013,0.635
274,11557,0.7627
291,1968,0.627
294,643,0.6055
309,1261,0.7095
320,1904,0.723
320,6971,0.7036
323,1065,0.7417
323,883,0.6626
324,9644,0.635
331,1887,0.7324
334,557,0.7754
336,1351,0.6226
345,4871,0.749
352,334,0.708
357,9644,0.6733
358,998,0.74
358,1067,0.716
360,8410,0.713
360,4204,0.709
366,3739,0.6675
366,2112,0.6577
369,10602,0.7666
371,1794,0.685
371,1476,0.62
372,2017,0.638
378,2467,0.8193
378,4732,0.696
386,81,0.736
391,1371,0.622
400,4313,0.694
434,2112,0.7925
438,10589,0.761
438,5080,0.758
440,5903,0.6807
441,9760,0.6406
447,11016,0.658
449,515,0.8374
451,11557,0.675
456,1237,0.662
464,648,0.8135
465,1877,0.8013
466,10560,0.6787
469,1882,0.6323
473,1887,0.719
481,5726,0.631
491,1887,0.6606
504,1887,0.6704
512,1338,0.6455
514,7800,0.61
515,449,0.8374
537,8380,0.615
539,2017,0.842
540,1794,0.6895
543,583,0.764
547,2006,0.7686
549,1066,0.71
557,1316,0.7817
557,334,0.7754
581,10088,0.601
583,1887,0.832
590,50,0.6597
590,78,0.651
608,1535,0.6387
617,998,0.668
628,9128,0.6333
629,10092,0.637
639,1567,0.6323
646,10231,0.674
648,464,0.8135
650,2017,0.628
660,7090,0.6587
662,264,0.6377
662,9105,0.6133
663,4032,0.7065
663,197,0.705
675,220,0.6885
675,7083,0.631
686,211,0.659
698,264,0.669
700,46,0.807
701,1163,0.6167
706,2008,0.6606
711,2027,0.625
722,2027,0.6343
723,5151,0.806
723,10604,0.802
727,2376,0.666
728,7758,0.662
731,438,0.633
731,6962,0.626
733,4131,0.6724
735,9553,0.673
742,6052,0.6025
744,4204,0.655
745,6062,0.693
748,31,0.637
749,4032,0.8013
759,1548,0.6045
771,1535,0.7935
772,3995,0.654
781,921,0.6006
786,10379,0.6064
791,1195,0.6626
792,967,0.7256
799,1782,0.6387
801,6013,0.6353
813,197,0.7593
817,1067,0.661
824,7040,0.6934
827,5633,0.6274
827,375,0.606
831,1479,0.936
852,1996,0.63
859,7355,0.646
875,10604,0.6333
875,1816,0.631
878,3068,0.6685
878,334,0.6646
879,205,0.67
880,11407,0.6562
883,1351,0.693
883,1567,0.681
883,323,0.6626
883,1184,0.649
888,11471,0.6665
892,5718,0.862
897,1535,0.677
899,11675,0.823
905,334,0.6455
918,1361,0.95
918,50,0.698
923,9599,0.6074
930,2034,0.6367
932,7980,0.668
937,7358,0.68
937,124,0.6406
956,1378,0.65
962,1554,0.6035
963,3417,0.6914
996,220,0.6587
1002,403,0.701
1002,46,0.6777
1013,273,0.635
1024,3294,0.718
1028,155,0.6265
1028,700,0.626
1041,11176,0.6104
1042,183,0.609
1050,9379,0.6875
1053,2017,0.802
1053,4385,0.787
1053,11280,0.777
1054,7191,0.755
1065,1351,0.7686
1065,9105,0.7676
1066,549,0.71
1066,4011,0.6724
1073,9130,0.6597
1075,851,0.643
1085,2054,0.621
1091,264,0.655
1100,1231,0.6035
1125,808,0.7627
1138,41,0.677
1151,1887,0.647
1168,1888,0.611
1170,1574,0.6104
1172,1784,0.673
1179,11016,0.7314
1181,851,0.642
1186,1351,0.6006
1187,31,0.647
1193,6080,0.607
1195,7617,0.8457
1197,643,0.621
1207,4871,0.634
1212,345,0.634
1212,1887,0.6
1213,1930,0.6997
1215,4204,0.7227
1221,4032,0.744
1221,583,0.74
1222,4703,0.606
1227,1316,0.6724
1231,1917,0.8457
1240,549,0.6094
1241,9644,0.624
1242,547,0.715
1242,11557,0.7144
1246,352,0.658
1255,1887,0.7197
1262,9925,0.6157
1284,1504,0.6978
1285,10767,0.6753
1292,10325,0.718
1295,1781,0.692
1298,11462,0.688
1299,264,0.6294
1299,1351,0.6245
1302,7690,0.7764
1304,2991,0.8555
1307,4313,0.666
1307,5513,0.662
1316,557,0.7817
1316,1781,0.767
1331,1781,0.677
1338,512,0.6455
1348,1887,0.6016
1351,1065,0.7686
1351,9105,0.7217
1361,918,0.95
1361,50,0.6753
1371,46,0.6934
1371,403,0.6714
1378,904,0.6616
1378,956,0.65
1426,1979,0.617
1428,386,0.6
1432,3180,0.822
1441,2675,0.6167
1451,5467,0.6724
1472,1882,0.6353
1473,8995,0.8057
1479,831,0.936
1490,7794,0.63
1501,1727,0.684
1505,826,0.7163
1505,7041,0.7075
1535,771,0.7935
1545,4555,0.6416
1555,6766,0.6973
1555,264,0.69
1555,7083,0.689
1555,61,0.683
1561,8613,0.601
1567,549,0.7046
1567,808,0.694
1567,8964,0.6846
1568,11016,0.609
1570,6917,0.8257
1574,1170,0.6104
1579,3840,0.6143
1580,134,0.7637
1593,7774,0.735
1598,10088,0.8125
1599,771,0.7324
1611,7083,0.73
1611,1887,0.6724
1614,160,0.771
1624,211,0.801
1631,11162,0.619
1644,256,0.6943
1645,10589,0.6143
1660,1295,0.6553
1665,3858,0.6436
1674,707,0.629
1683,1988,0.6147
1705,1993,0.6147
1727,1501,0.684
1728,808,0.725
1732,211,0.699
1735,7778,0.6523
1737,1874,0.866
1743,5903,0.6953
1749,1876,0.7183
1749,723,0.66
1749,7367,0.642
1749,5151,0.6313
1754,1624,0.724
1754,211,0.6836
1775,1776,0.697
1775,4176,0.6387
1776,1775,0.697
1776,465,0.639
1781,1316,0.767
1782,1942,0.6807
1784,9379,0.681
1785,7355,0.6904
1785,5513,0.6816
1797,3417,0.6895
1799,707,0.7153
1807,46,0.708
1807,1067,0.6426
1812,4032,0.6807
1816,875,0.631
1819,264,0.617
1843,9379,0.658
1845,1880,0.621
1864,1237,0.6064
1864,1867,0.6055
1870,1580,0.6396
1874,1737,0.866
1875,31,0.753
1876,5151,0.821
1876,723,0.7837
1876,4032,0.778
1876,2467,0.7695
1877,465,0.8013
1880,1845,0.621
1891,31,0.7646
1894,808,0.671
1901,6135,0.841
1917,1231,0.8457
1917,9644,0.7607
1917,1180,0.745
1919,11,0.694
1921,10699,0.682
1921,1846,0.6
1927,114,0.6055
1968,700,0.64
1970,8362,0.6387
