source,target,similarity
10,15704,0.6914
22,9016,0.8594
92,10392,0.7314
142,5833,0.6797
153,1183,0.6914
177,9026,0.624
210,4974,0.6895
225,14224,0.74
232,8531,0.762
233,2224,0.7363
346,29605,0.638
348,6622,0.7393
402,19898,0.677
403,8144,0.6167
416,6622,0.79
418,10067,0.676
420,6691,0.8306
423,28020,0.708
425,2415,0.7026
446,10504,0.6724
458,10558,0.7397
458,24075,0.7295
498,5275,0.658
501,26789,0.6704
511,8109,0.7124
525,37316,0.749
529,2905,0.6123
540,3588,0.6914
559,9392,0.758
559,9160,0.756
559,28485,0.7188
559,26513,0.708
559,6539,0.6963
562,17646,0.6265
575,4914,0.6304
576,5840,0.6426
581,3157,0.788
590,9448,0.756
617,12032,0.618
662,8527,0.78
668,34633,0.7544
687,8117,0.7437
710,10504,0.6665
712,9921,0.6304
712,662,0.619
743,5600,0.7446
856,1820,0.694
863,34551,0.822
866,17561,0.6777
867,1960,0.7275
872,6368,0.656
885,8404,0.616
887,6622,0.6733
890,652,0.626
953,4382,0.738
958,4219,0.632
959,7933,0.61
976,24078,0.6284
994,14167,0.662
1015,22740,0.698
1029,10236,0.618
1031,8234,0.6064
1040,9148,0.751
1046,9058,0.604
1060,3452,0.616
1104,15704,0.985
1135,7819,0.8257
1149,5088,0.9385
1167,11027,0.7075
1183,153,0.6914
1291,2528,0.658
1375,7660,0.7246
1375,15649,0.7236
1386,27369,0.7017
1438,16160,0.7573
1438,17108,0.642
1466,18424,0.676
1476,7712,0.624
1615,21904,0.691
1627,5874,0.738
1628,29684,0.625
1639,10619,0.6694
1643,5087,0.6313
1644,6687,0.657
1645,9551,0.6216
1654,28707,0.6313
1668,6687,0.787
1691,8531,0.6895
1696,10618,0.6104
1706,3401,0.649
1707,23720,0.753
1711,7301,0.678
1720,3640,0.63
1754,32189,0.7915
1771,9064,0.6836
1784,34083,0.611
1814,6369,0.624
1816,6513,0.7134
1822,24261,0.69
1825,3963,0.829
1825,1149,0.7417
1836,23778,0.636
1934,7676,0.71
1934,28707,0.6753
1934,26513,0.672
1934,3536,0.6675
1960,2735,0.858
1965,6258,0.6987
1970,9392,0.654
1973,2554,0.6685
1985,7955,0.633
1990,7746,0.8955
1991,20364,0.63
2002,1776,0.607
2005,25571,0.695
2020,1860,0.6987
2020,4961,0.689
2066,8739,0.654
2090,1980,0.621
2093,7908,0.9595
2125,24075,0.686
2224,5970,0.8037
2232,3425,0.679
2262,26920,0.6973
2271,4160,0.6196
2288,23743,0.9165
2367,6579,0.6494
2411,2058,0.621
2411,8441,0.6104
2418,10830,0.612
2439,5874,0.6226
2441,8123,0.604
2446,2470,0.696
2466,24847,0.612
2470,2446,0.696
2473,26273,0.6978
2486,16762,0.6865
2486,5826,0.6836
2488,2969,0.6484
2489,37115,0.701
2535,3974,0.6055
2554,1973,0.6685
2569,30058,0.679
2577,25571,0.629
2577,2692,0.623
2586,36621,0.7646
2634,9986,0.7007
2635,6127,0.737
2647,5152,0.814
2735,1960,0.858
2738,25318,0.6577
2738,30002,0.6426
2759,16233,0.645
2767,2635,0.625
2795,4480,0.6826
2800,19335,0.843
2827,16233,0.7285
2827,37115,0.716
2848,18661,0.6304
2888,4160,0.654
2957,2224,0.635
2957,32303,0.6104
2969,2488,0.6484
2983,3366,0.6147
2984,7980,0.651
3031,31753,0.6167
3039,6990,0.606
3044,3455,0.7114
3072,7049,0.7734
3076,6614,0.7075
3085,32783,0.719
3086,6485,0.6377
3086,6326,0.601
3096,7969,0.629
3104,24200,0.6655
3104,37323,0.602
3106,6945,0.628
3135,13320,0.651
3157,581,0.788
3177,29684,0.749
3177,8117,0.748
3185,32646,0.752
3185,28485,0.7446
3203,662,0.695
3291,3450,0.856
3407,1149,0.634
3435,11426,0.613
3442,32189,0.65
3447,22040,0.7183
3450,3291,0.856
3450,5088,0.6953
3450,1149,0.676
3455,3044,0.7114
3466,30593,0.6562
